"Rank","Player","Team","Bye","POS","AVG"
"127","Chuba Hubbard CAR","","","RB37","124.5"
"128","Jayden Daniels","","","QB18","128.5"
"129","Roschon Johnson CHI","","","RB38","129.5"
"130","Dontayvion Wicks GB","","","WR59","130.0"
"131","Zach Charbonnet SEA","","","RB39","132.5"
"132","Jahan Dotson WAS","","","WR60","133.5"
"133","Jerry Jeudy CLE","","","WR61","135.0"
"134","Matthew Stafford LAR","","","QB19","135.0"
"135","Jerome Ford CLE","","","RB40","135.5"
"136","Luke Musgrave GB","","","TE16","137.5"
"137","Roman Wilson","","","WR62","138.5"
"138","Blake Corum","","","RB41","138.5"
"139","Jaylen Wright","","","RB42","140.0"
"140","Khalil Herbert CHI","","","RB43","140.5"
"141","Gabe Davis JAC","","","WR63","140.5"
"142","Kendre Miller NO","","","RB44","142.5"
"143","Kirk Cousins ATL","","","QB20","143.0"
"144","Devin Singletary NYG","","","RB45","143.5"
"145","Drake Maye","","","QB21","145.0"
"146","Brandin Cooks DAL","","","WR64","147.0"
"147","Jaleel McLaughlin DEN","","","RB46","147.5"
"148","Michael Mayer LV","","","TE17","149.5"
"149","Xavier Legette","","","WR65","150.0"
"150","MarShawn Lloyd","","","RB47","150.5"
"151","Pat Freiermuth PIT","","","TE18","151.0"
"152","Adam Thielen CAR","","","WR66","152.0"
"153","Michael Wilson ARI","","","WR67","152.0"
"154","Wan'Dale Robinson NYG","","","WR68","155.0"
"155","Ricky Pearsall","","","WR69","155.5"
"156","Braelon Allen","","","RB48","156.0"
"157","Marvin Mims Jr. DEN","","","WR70","156.0"
"158","Quentin Johnston LAC","","","WR71","158.0"
"159","Baker Mayfield TB","","","QB22","159.0"
"160","Deshaun Watson CLE","","","QB23","159.5"
"161","Aaron Rodgers NYJ","","","QB24","160.0"
"162","Demario Douglas NE","","","WR72","160.5"
"163","Tyler Allgeier ATL","","","RB49","161.5"
"164","Cade Otton TB","","","TE19","161.5"
"165","Zack Moss CIN","","","RB50","164.0"
"166","Joshua Palmer LAC","","","WR73","168.0"
"167","Isaiah Likely BAL","","","TE20","169.0"
"168","Bucky Irving","","","RB51","169.5"
"169","Ray Davis","","","RB52","169.5"
"170","Elijah Mitchell SF","","","RB53","171.5"
"171","Ja'Lynn Polk","","","WR74","172.0"
"172","Malachi Corley","","","WR75","173.0"
"173","Curtis Samuel BUF","","","WR76","173.5"
"174","Audric Estime","","","RB54","174.0"
"175","Geno Smith SEA","","","QB25","176.5"
"176","Keaton Mitchell BAL","","","RB55","177.5"
"177","Darren Waller NYG","","","TE21","177.5"
"178","Devontez Walker","","","WR77","179.0"
"179","Juwan Johnson NO","","","TE22","180.5"
"180","Zay Jones JAC","","","WR78","183.5"
"181","Ja'Tavion Sanders","","","TE23","184.0"
"182","Derek Carr NO","","","QB26","184.0"
"183","Malik Washington","","","WR79","186.5"
"184","Hunter Henry NE","","","TE24","186.5"
"185","Antonio Gibson NE","","","RB56","187.5"
"186","Trey Palmer TB","","","WR80","188.0"
"187","Tyler Conklin NYJ","","","TE25","189.0"
"188","Treylon Burks TEN","","","WR81","189.0"
"189","Rashod Bateman BAL","","","WR82","191.5"
"190","Elijah Moore CLE","","","WR83","192.0"
"191","Javon Baker","","","WR84","192.0"
"192","Will Levis TEN","","","QB27","192.0"
"193","Miles Sanders CAR","","","RB57","195.5"
"194","Demarcus Robinson LAR","","","WR85","197.5"
"195","Chigoziem Okonkwo TEN","","","TE26","197.5"
"196","Tucker Kraft GB","","","TE27","198.5"
"197","Jalin Hyatt NYG","","","WR86","199.0"
"198","Daniel Jones NYG","","","QB28","200.0"
"199","Will Shipley","","","RB58","201.5"
"200","Bryce Young CAR","","","QB29","201.5"
"201","Gus Edwards LAC","","","RB59","202.5"
"202","Jermaine Burton","","","WR87","203.0"
"203","Davis Allen LAR","","","TE28","203.5"
"204","Israel Abanikanda NYJ","","","RB60","207.0"
"205","Taysom Hill NO","","","TE29","207.5"
"206","Russell Wilson PIT","","","QB30","207.5"
"207","Rico Dowdle DAL","","","RB61","207.5"
"208","Kenneth Gainwell PHI","","","RB62","210.0"
"209","A.T. Perry NO","","","WR88","210.5"
"210","J.K. Dobbins","","","RB63","211.0"
"211","Chris Rodriguez Jr. WAS","","","RB64","211.0"
"212","Tyler Boyd CIN","","","WR89","211.0"
"213","J.J. McCarthy","","","QB31","211.0"
"214","Jonnu Smith MIA","","","TE30","212.0"
"215","Jonathan Mingo CAR","","","WR90","212.5"
"216","Tank Bigsby JAC","","","RB65","214.5"
"217","Andrei Iosivas CIN","","","WR91","216.5"
"218","Jalen McMillan","","","WR92","217.0"
"219","Brenden Rice","","","WR93","218.5"
"220","Dylan Laube","","","RB66","220.5"
"221","Dameon Pierce HOU","","","RB67","221.5"
"222","Josh Reynolds DEN","","","WR94","221.5"
"223","Ezekiel Elliott NE","","","RB68","224.5"
"224","Justice Hill BAL","","","RB69","226.0"
"225","Isaac Guerendo","","","RB70","168.0"
"226","Johnny Wilson","","","WR95","226.5"
"227","Darius Slayton NYG","","","WR96","226.5"
"228","Noah Fant SEA","","","TE31","227.0"
"229","Zach Ertz WAS","","","TE32","228.0"
"230","Emanuel Wilson GB","","","RB71","228.5"
"231","Darnell Mooney ATL","","","WR97","230.5"
"232","Michael Penix Jr.","","","QB32","232.0"
"233","Kendrick Bourne NE","","","WR98","234.0"
"234","Dawson Knox BUF","","","TE33","235.5"
"235","Noah Brown HOU","","","WR99","236.0"
"236","AJ Dillon GB","","","RB72","238.5"
"237","Gerald Everett CHI","","","TE34","239.0"
"238","Tre Tucker LV","","","WR100","241.0"
"239","Jacob Cowing","","","WR101","241.0"
"240","Michael Thomas NO","","","WR102","241.5"
"241","Greg Dulcich DEN","","","TE35","242.5"
"242","Alec Pierce IND","","","WR103","243.5"
"243","Daniel Bellinger NYG","","","TE36","247.5"
"244","Ben Sinnott","","","TE37","248.0"
"245","Luke McCaffrey","","","WR104","248.5"
"246","Theo Johnson","","","TE38","249.0"
"247","Kimani Vidal","","","RB73","249.0"
"248","Bo Nix","","","QB33","249.5"
"249","Joe Flacco IND","","","QB34","250.5"
"250","Jauan Jennings SF","","","WR105","250.5"
"251","Eric Gray NYG","","","RB74","252.0"
"252","Ronnie Rivers LAR","","","RB75","253.5"
"253","Tutu Atwell LAR","","","WR106","254.0"
"254","Cody Schrader","","","RB76","254.0"
"255","Xavier Gipson NYJ","","","WR107","272.5"
"256","Michael Carter ARI","","","RB77","257.0"
"257","Donald Parham Jr. LAC","","","TE39","258.5"
"258","Jelani Woods IND","","","TE40","259.0"
"259","Frank Gore Jr.","","","RB78","259.5"
"260","Charlie Jones CIN","","","WR108","260.0"
"261","Allen Lazard NYJ","","","WR109","260.5"
"262","Cole Turner WAS","","","TE41","263.5"
"263","D'Onta Foreman CLE","","","RB79","261.5"
"264","Odell Beckham Jr.","","","WR110","244.0"
"265","Alexander Mattison LV","","","RB80","265.0"
"266","Dillon Johnson","","","RB81","270.0"
"267","Greg Dortch ARI","","","WR111","276.0"
"268","Jamaal Williams NO","","","RB82","271.0"
"269","Parker Washington JAC","","","WR112","267.5"
"270","Kenny Pickett PHI","","","QB35","253.0"
"271","Jamari Thrash","","","WR113","270.0"
"272","Rondale Moore ATL","","","WR114","256.0"
"273","Tim Patrick DEN","","","WR115","272.0"
"274","Jalen Tolbert DAL","","","WR116","272.0"
"275","Bo Melton GB","","","WR117","274.0"
"276","Brevin Jordan HOU","","","TE42","272.5"
"277","Dalvin Cook BAL","","","RB83","261.0"
"278","DJ Chark Jr. CAR","","","WR118","274.0"
"279","Sam Howell SEA","","","QB36","265.0"
"280","DeWayne McBride MIN","","","RB84","315.0"
"281","Isaiah Davis","","","RB85","267.0"
"282","Cam Akers MIN","","","RB86","269.0"
"283","Cedric Tillman CLE","","","WR119","279.5"
"284","Ainias Smith","","","WR120","282.0"
"285","Hunter Renfrow","","","WR121","310.5"
"286","K.J. Osborn NE","","","WR122","272.0"
"287","John Metchie III HOU","","","WR123","278.5"
"288","Noah Gray KC","","","TE43","273.0"
"289","Emari Demercado ARI","","","RB87","305.5"
"290","Aidan O'Connell LV","","","QB37","274.0"
"291","Isaiah Spiller LAC","","","RB88","301.5"
"292","Jawhar Jordan","","","RB89","291.5"
"293","Tahj Washington","","","WR124","277.0"
"294","Deuce Vaughn DAL","","","RB90","279.0"
"295","Bub Means","","","WR125","289.0"
"296","Kareem Hunt CLE","","","RB91","280.0"
"297","Jordan Mason SF","","","RB92","281.0"
"298","Michael Gallup","","","WR126","282.0"
"299","JuJu Smith-Schuster NE","","","WR127","284.0"
"300","Jaheim Bell","","","TE44","300.5"
"301","Tanner Hudson CIN","","","TE45","285.0"
"302","Samaje Perine DEN","","","RB93","286.0"
"303","Nelson Agholor BAL","","","WR128","287.0"
"304","Cade Stover","","","TE46","288.0"
"305","Skyy Moore KC","","","WR129","292.0"
"306","Trey Lance DAL","","","QB38","296.0"
"307","Dallin Holker","","","TE47","297.0"
"308","Clyde Edwards-Helaire KC","","","RB94","298.0"
"309","Evan Hull IND","","","RB95","300.0"
"310","Kalif Raymond DET","","","WR130","301.0"
"311","David Bell CLE","","","WR131","302.0"
"312","Calvin Austin III PIT","","","WR132","303.0"
"313","Rasheen Ali","","","RB96","305.0"
"314","Joshua Kelley LAC","","","RB97","306.0"
"315","Trayveon Williams CIN","","","RB98","307.0"
"316","Kendall Milton","","","RB99","309.0"
"317","Ryan Tannehill TEN","","","QB39","310.0"
"318","Sam Darnold MIN","","","QB40","311.0"
"319","Mac Jones JAC","","","QB41","312.0"
"320","Cedrick Wilson Jr. NO","","","WR133","313.0"
"321","Jeff Wilson Jr. MIA","","","RB100","314.0"
"322","Jarrett Stidham DEN","","","QB42","315.0"
"323","Robert Woods HOU","","","WR134","316.0"
"324","Mecole Hardman Jr. KC","","","WR135","318.0"
"325","Tommy Tremble CAR","","","TE48","320.0"
"326","Pierre Strong Jr. CLE","","","RB101","321.0"
"327","Tyler Higbee LAR","","","TE49","322.0"
"328","Tyquan Thornton NE","","","WR136","323.0"
"329","Chris Brooks MIA","","","RB102","324.0"
"330","Jha'Quan Jackson","","","WR137","325.0"
"331","Richie James Jr. KC","","","WR138","326.0"
"332","Kylen Granson IND","","","TE50","327.0"
"333","Mack Hollins BUF","","","WR139","328.0"
"334","Michael Burton DEN","","","RB103","330.0"
"335","Jerick McKinnon KC","","","RB104","331.0"
"336","Joshua Dobbs SF","","","QB43","332.0"
"337","Jaylen Smith","","","WR140","333.0"
"338","Keilan Robinson","","","RB105","334.0"
"339","Josh Oliver MIN","","","TE51","335.0"
"340","Tyler Scott CHI","","","WR141","336.0"
"341","Nick Westbrook-Ikhine TEN","","","WR142","337.0"
"342","KhaDarel Hodge ATL","","","WR143","339.0"
"343","Marvin Jones Jr.","","","WR144","340.0"
"344","Mike Gesicki CIN","","","TE52","341.0"
"345","Jase McClellan","","","RB106","342.0"
"346","Jimmy Garoppolo LAR","","","QB44","343.0"
"347","Joe Milton III","","","QB45","344.0"
"348","Marcus Mariota WAS","","","QB46","345.0"
"349","Xavier Hutchinson HOU","","","WR145","346.0"
"350","Ryan Willis","","","QB47","347.0"
"351","Cornelius Johnson","","","WR146","348.0"
"352","Luke Schoonmaker DAL","","","TE53","349.0"
"353","Chase Claypool MIA","","","WR147","351.0"
"354","Brandon Johnson DEN","","","WR148","352.0"
"355","Jake Browning CIN","","","QB48","353.0"
"356","Gardner Minshew II LV","","","QB49","354.0"
"357","Blake Watson","","","RB107","355.0"
"358","Tyrion Davis-Price PHI","","","RB108","356.0"
"359","Spencer Rattler","","","QB50","357.0"
"360","Hayden Hurst LAC","","","TE54","358.0"
"361","DeVante Parker PHI","","","WR149","359.0"
"362","Jake Bobo SEA","","","WR150","360.0"
"363","Rashaad Penny PHI","","","RB109","361.0"
"364","Adam Trautman DEN","","","TE55","362.0"
"365","Austin Hooper NE","","","TE56","363.0"
"366","Anthony Gould","","","WR151","365.0"
"367","Logan Thomas","","","TE57","366.0"
"368","Ronnie Bell SF","","","WR152","367.0"
"369","Keaontay Ingram KC","","","RB110","368.0"
"370","Jacoby Brissett NE","","","QB51","369.0"
"371","Justin Watson KC","","","WR153","370.0"
"372","Darnell Washington PIT","","","TE58","371.0"
"373","Emani Bailey","","","RB111","372.0"
"374","Deneric Prince KC","","","RB112","373.0"
"375","Donovan Peoples-Jones DET","","","WR154","374.0"
"376","Trenton Irwin CIN","","","WR155","375.0"
"377","Deven Thompkins TB","","","WR156","376.0"
"378","Devin Duvernay JAC","","","WR157","377.0"
"379","Zach Evans LAR","","","RB113","378.0"
"380","Pete Guerriero","","","RB114","379.0"
"381","Irv Smith Jr. KC","","","TE59","381.0"
"382","J. Michael Sturdivant","","","WR158","382.0"
"383","Kadarius Toney KC","","","WR159","383.0"
"384","Andrew Ogletree IND","","","TE60","384.0"
"385","Patrick Taylor Jr. SF","","","RB115","385.0"
"386","Damien Harris","","","RB116","386.0"
