1,2,3,4,5,6,7,8,9,10
J. Reed,J. Jacobs,J. Jacobs,J. Jacobs,J. Smith-Njigba,A. Jones,J. Reed,D. Henry,J. Jacobs,C. Ridley
WR - GB,RB - GB,RB - GB,RB - GB,WR - SEA,RB - MIN,WR - GB,RB - BAL,RB - GB,WR - TEN
7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
C. Godwin,D. Hopkins,A. Richardson,C. Stroud,J. Jacobs,D. Hopkins,C. Godwin,C. Godwin,G. Pickens,J. Conner
WR - TB,WR - TEN,QB - IND,QB - HOU,RB - GB,WR - TEN,WR - TB,WR - TB,WR - PIT,RB - ARI
8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9
K. Pitts,N. Harris,J. Meyers,D. Njoku,T. Pollard,D. Njoku,J. Love,E. Engram,R. Doubs,G. Kittle
TE - ATL,RB - PIT,WR - LV,TE - CLE,RB - TEN,TE - CLE,QB - GB,TE - JAX,WR - GB,TE - SF
9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2
T. Pollard,C. Watson,K. Pitts,N. Harris,N. Harris,B. Robinson,T. Pollard,R. Stevenson,A. Ekeler,T. Pollard
RB - TEN,WR - GB,TE - ATL,RB - PIT,RB - PIT,RB - WAS,RB - TEN,RB - NE,RB - WAS,RB - TEN
10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9
J. Mixon,J. Love,D. Swift,K. Shakir,K. Shakir,J. Love,D. Njoku,J. Downs,C. Sutton,D. Prescott
RB - HOU,QB - GB,RB - CHI,WR - BUF,WR - BUF,QB - GB,TE - CLE,WR - IND,WR - DEN,QB - DAL
11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
J. Fields,J. Herbert,J. Herbert,J. Ferguson,J. Herbert,J. Herbert,D. Goedert,B. Purdy,T. Hockenson,J. Herbert
QB - PIT,QB - LAC,QB - LAC,TE - DAL,QB - LAC,QB - LAC,TE - PHI,QB - SF,TE - MIN,QB - LAC
12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9
T. Lockett,T. Lockett,T. Lockett,J. Goff,T. Lockett,J. McLaughlin,C. Hubbard,K. Herbert,Z. White,R. Johnson
WR - SEA,WR - SEA,WR - SEA,QB - DET,WR - SEA,RB - DEN,RB - CAR,RB - CHI,RB - LV,RB - CHI
13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2
J. Ford,L. Musgrave,L. Musgrave,Z. Charbonnet,K. Herbert,Z. Charbonnet,J. Jeudy,J. Ford,Z. Charbonnet,L. Musgrave
RB - CLE,TE - GB,TE - GB,RB - SEA,RB - CHI,RB - SEA,WR - CLE,RB - CLE,RB - SEA,TE - GB
1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
T. Hill,A. St. Brown,C. McCaffrey,T. Hill,T. Hill,C. McCaffrey,T. Hill,J. Chase,T. Hill,T. Hill
WR - MIA,WR - DET,RB - SF,WR - MIA,WR - MIA,RB - SF,WR - MIA,WR - CIN,WR - MIA,WR - MIA
2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
J. Taylor,J. Allen,D. Adams,D. Achane,R. Rice,D. Achane,B. Aiyuk,D. Achane,J. Taylor,D. Achane
RB - IND,QB - BUF,WR - LV,RB - MIA,WR - KC,RB - MIA,WR - SF,RB - MIA,RB - IND,RB - MIA
3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
R. Rice,M. Harrison,S. Diggs,M. Harrison,J. Waddle,T. Kelce,J. Waddle,J. Waddle,S. Diggs,J. Waddle
WR - KC,WR -,WR - HOU,WR -,WR - MIA,TE - KC,WR - MIA,WR - MIA,WR - HOU,WR - MIA
4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
C. Kupp,M. Nabers,T. Higgins,M. Andrews,D. Metcalf,D. Smith,C. Kupp,M. Nabers,M. Pittman,M. Nabers
