1,2,3,4,5,6,7,8,9,10
2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
P. Nacua,N. Collins,G. Wilson,A. Brown,K. Williams,D. Moore,D. Moore,K. Williams,D. Moore,J. Gibbs
WR - LAR,WR - HOU,WR - NYJ,WR - PHI,RB - LAR,WR - CHI,WR - CHI,RB - LAR,WR - CHI,RB - DET
3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
M. Harrison,S. LaPorta,S. Barkley,R. Rice,S. Barkley,M. Harrison,M. Pittman,S. Diggs,C. Olave,T. Kelce
WR -,TE - DET,RB - PHI,WR - KC,RB - PHI,WR -,WR - IND,WR - HOU,WR - NO,TE - KC
4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
T. Etienne,D. Samuel,D. Metcalf,D. Metcalf,S. LaPorta,M. Nabers,S. Barkley,M. Andrews,D. Metcalf,M. Pittman
RB - JAX,WR - SF,WR - SEA,WR - SEA,TE - DET,WR -,RB - PHI,TE - BAL,WR - SEA,WR - IND
5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
T. McBride,C. Kupp,L. Jackson,I. Pacheco,T. Higgins,R. Odunze,L. Jackson,A. Jones,L. Jackson,L. Jackson
TE - ARI,WR - LAR,QB - BAL,RB - KC,WR - CIN,WR -,QB - BAL,RB - MIN,QB - BAL,QB - BAL
6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
T. McLaurin,J. Conner,C. Ridley,T. McBride,A. Jones,I. Pacheco,J. Jacobs,J. Addison,T. McBride,T. McLaurin
WR - WAS,RB - ARI,WR - TEN,TE - ARI,RB - MIN,RB - KC,RB - GB,WR - MIN,TE - ARI,WR - WAS
7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
K. Murray,G. Pickens,C. Godwin,A. Richardson,A. Richardson,A. Richardson,G. Kittle,G. Pickens,A. Kamara,G. Pickens
QB - ARI,WR - PIT,WR - TB,QB - IND,QB - IND,QB - IND,TE - SF,WR - PIT,RB - NO,WR - PIT
8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4
A. Ekeler,D. Prescott,R. Stevenson,C. Watson,G. Pickens,J. Smith-Njigba,T. Spears,D. Prescott,T. Spears,R. Stevenson
RB - WAS,QB - DAL,RB - NE,WR - GB,WR - PIT,WR - SEA,RB - TEN,QB - DAL,RB - TEN,RB - NE
9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7
J. Williams,J. Williams,E. Engram,J. Meyers,R. Doubs,E. Engram,J. Meyers,D. Johnson,J. Meyers,R. Doubs
RB - DEN,WR - DET,TE - JAX,WR - LV,WR - GB,TE - JAX,WR - LV,WR - CAR,WR - LV,WR - GB
10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4
J. Downs,R. Mostert,R. Doubs,R. Mostert,J. Mixon,R. Mostert,C. Brown,N. Chubb,D. Johnson,C. Sutton
WR - IND,RB - MIA,WR - GB,RB - MIA,RB - HOU,RB - MIA,RB - CIN,RB - CLE,WR - CAR,WR - DEN
11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7
C. Hubbard,T. Chandler,C. Brown,D. Goedert,T. Tagovailoa,T. Hockenson,D. Schultz,T. Tagovailoa,D. Schultz,J. Downs
RB - CAR,RB - MIN,RB - CIN,TE - PHI,QB - MIA,TE - MIN,TE - HOU,QB - MIA,TE - HOU,WR - IND
12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4
J. Dotson,M. Williams,J. Ford,R. Shaheed,T. Chandler,T. Chandler,T. Chandler,R. Shaheed,T. Chandler,T. Chandler
WR - WAS,WR - NYJ,RB - CLE,WR - NO,RB - MIN,RB - MIN,RB - MIN,WR - NO,RB - MIN,RB - MIN
13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7
K. Herbert,D. Singletary,J. Jeudy,K. Herbert,J. Jeudy,M. Stafford,G. Davis,D. Singletary,Z. Moss,K. Herbert
RB - CHI,RB - NYG,WR - CLE,RB - CHI,WR - CLE,QB - LAR,WR - JAX,RB - NYG,RB - CIN,RB - CHI
1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
B. Robinson,B. Hall,A. Brown,B. Robinson,B. Hall,B. Hall,B. Hall,A. Brown,B. Hall,A. Brown
RB - ATL,RB - NYJ,WR - PHI,RB - ATL,RB - NYJ,RB - NYJ,RB - NYJ,WR - PHI,RB - NYJ,WR - PHI
2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
J. Gibbs,J. Gibbs,N. Collins,N. Collins,D. Moore,N. Collins,J. Gibbs,N. Collins,K. Williams,K. Williams
RB - DET,RB - DET,WR - HOU,WR - HOU,WR - CHI,WR - HOU,RB - DET,WR - HOU,RB - LAR,RB - LAR
3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
S. Barkley,M. Evans,M. Evans,T. Kelce,D. Samuel,S. Barkley,M. Evans,M. Pittman,D. London,D. London
RB - PHI,WR - TB,WR - TB,TE - KC,WR - SF,RB - PHI,WR - TB,WR - IND,WR - ATL,WR - ATL
4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
M. Pittman,M. Andrews,K. Allen,T. Etienne,D. London,J. Hurts,M. Andrews,M. Evans,K. Allen,M. Andrews
WR - IND,TE - BAL,WR - CHI,RB - JAX,WR - ATL,QB - PHI,TE - BAL,WR - TB,WR - CHI,TE - BAL
5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
P. Mahomes,A. Cooper,R. Odunze,L. Jackson,T. McBride,J. Reed,R. Odunze,R. Odunze,A. Cooper,I. Pacheco
QB - KC,WR - CLE,WR -,QB - BAL,TE - ARI,WR - GB,WR -,WR -,WR - CLE,RB - KC
6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
K. Walker,A. Jones,K. Walker,J. Cook,J. Reed,D. Henry,J. Addison,D. Smith,J. Cook,A. Jones
RB - SEA,RB - MIN,RB - SEA,RB - BUF,WR - GB,RB - BAL,WR - MIN,WR - PHI,RB - BUF,RB - MIN
7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
D. Kincaid,C. Ridley,J. Smith-Njigba,G. Pickens,C. Stroud,D. Kincaid,G. Pickens,K. Pitts,G. Kittle,J. Smith-Njigba
TE - BUF,WR - TEN,WR - SEA,WR - PIT,QB - HOU,TE - BUF,WR - PIT,TE - ATL,TE - SF,WR - SEA
8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
D. Hopkins,J. Burrow,T. Pollard,R. Stevenson,T. Spears,C. Watson,D. Prescott,K. Murray,C. Stroud,J. Love
WR - TEN,QB - CIN,RB - TEN,RB - NE,RB - TEN,WR - GB,QB - DAL,QB - ARI,QB - HOU,QB - GB
9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
B. Robinson,J. Warren,J. Love,J. Williams,N. Chubb,R. Doubs,J. Williams,J. Warren,T. Pollard,M. Brown
RB - WAS,RB - PIT,QB - GB,RB - DEN,RB - CLE,WR - GB,RB - DEN,RB - PIT,RB - TEN,WR - KC
10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
N. Chubb,N. Chubb,D. Njoku,D. Johnson,R. Mostert,N. Chubb,N. Chubb,R. Mostert,J. Williams,J. Mixon
RB - CLE,RB - CLE,TE - CLE,WR - CAR,RB - MIA,RB - CLE,RB - CLE,RB - MIA,RB - DEN,RB - HOU
11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8
T. Tagovailoa,T. Hockenson,T. Hockenson,T. Tagovailoa,T. Hockenson,D. Swift,T. Lawrence,T. Lawrence,D. Swift,D. Swift
QB - MIA,TE - MIN,TE - MIN,QB - MIA,TE - MIN,RB - CHI,QB - JAX,QB - JAX,RB - CHI,RB - CHI
12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3
D. Schultz,C. Hubbard,Z. White,D. Wicks,M. Williams,T. Lockett,M. Williams,C. Kmet,J. Goff,T. Lawrence
TE - HOU,RB - CAR,RB - LV,WR - GB,WR - NYJ,WR - SEA,WR - NYJ,TE - CHI,QB - DET,QB - JAX
13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8
B. Cooks,J. Jeudy,K. Cousins,M. Wilson,D. Wicks,K. Herbert,D. Wicks,J. McLaughlin,G. Davis,G. Davis
WR - DAL,WR - CLE,QB - ATL,WR - ARI,WR - GB,RB - CHI,WR - GB,RB - DEN,WR - JAX,WR - JAX
1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
A. St. Brown,P. Nacua,J. Gibbs,G. Wilson,A. Brown,A. Brown,B. Robinson,B. Robinson,A. Brown,N. Collins
WR - DET,WR - LAR,RB - DET,WR - NYJ,WR - PHI,WR - PHI,RB - ATL,RB - ATL,WR - PHI,WR - HOU
2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
D. Moore,G. Wilson,P. Nacua,K. Williams,G. Wilson,J. Gibbs,J. Taylor,J. Gibbs,J. Gibbs,P. Nacua
WR - CHI,WR - NYJ,WR - LAR,RB - LAR,WR - NYJ,RB - DET,RB - IND,RB - DET,RB - DET,WR - LAR
3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
M. Evans,D. Metcalf,T. Dell,D. London,M. Evans,M. Pittman,D. Samuel,S. LaPorta,T. Dell,D. Samuel
WR - TB,WR - SEA,WR - HOU,WR - ATL,WR - TB,WR - IND,WR - SF,TE - DET,WR - HOU,WR - SF
4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
M. Andrews,S. Barkley,J. Hurts,M. Evans,M. Andrews,D. London,D. Metcalf,D. Metcalf,S. LaPorta,T. Etienne
TE - BAL,RB - PHI,QB - PHI,WR - TB,TE - BAL,WR - ATL,WR - SEA,WR - SEA,TE - DET,RB - JAX
5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
T. Higgins,Z. Flowers,J. Reed,Z. Flowers,T. McLaurin,P. Mahomes,A. Jones,I. Pacheco,A. Jones,J. Addison
WR - CIN,WR - BAL,WR - GB,WR - BAL,WR - WAS,QB - KC,RB - MIN,RB - KC,RB - MIN,WR - MIN
6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
D. Henry,R. Odunze,A. Jones,T. McLaurin,I. Pacheco,J. Cook,J. Cook,J. Reed,I. Pacheco,J. Cook
RB - BAL,WR -,RB - MIN,WR - WAS,RB - KC,RB - BUF,RB - BUF,WR - GB,RB - KC,RB - BUF
7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
T. Spears,T. Spears,D. Hopkins,D. Kincaid,A. Kamara,D. Montgomery,D. Hopkins,C. Stroud,J. Burrow,A. Richardson
RB - TEN,RB - TEN,WR - TEN,TE - BUF,RB - NO,RB - DET,WR - TEN,QB - HOU,QB - CIN,QB - IND
8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2
D. Prescott,E. Engram,G. Kittle,D. Montgomery,J. Burrow,G. Pickens,R. Stevenson,A. Kamara,D. Montgomery,K. Pitts
QB - DAL,TE - JAX,TE - SF,RB - DET,QB - CIN,WR - PIT,RB - NE,RB - NO,RB - DET,TE - ATL
9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
J. Warren,K. Murray,J. Williams,J. Fields,D. Johnson,J. Meyers,K. Pitts,R. Doubs,J. Warren,D. Johnson
RB - PIT,QB - ARI,RB - DEN,QB - PIT,WR - CAR,WR - LV,TE - ATL,WR - GB,RB - PIT,WR - CAR
10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
R. Mostert,J. Downs,R. Mostert,J. Warren,J. Meyers,J. Ferguson,K. Murray,J. Williams,J. Williams,J. Williams
RB - MIA,WR - IND,RB - MIA,RB - PIT,WR - LV,TE - DAL,QB - ARI,RB - DEN,WR - DET,RB - DEN
11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9
T. Hockenson,D. Schultz,T. Tagovailoa,C. Kmet,D. Swift,T. Tagovailoa,T. Tagovailoa,M. Williams,T. Lawrence,M. Williams
TE - MIN,TE - HOU,QB - MIA,TE - CHI,RB - CHI,QB - MIA,QB - MIA,WR - NYJ,QB - JAX,WR - NYJ
12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2
M. Williams,J. Goff,T. Chandler,M. Williams,J. Goff,C. Kmet,R. Shaheed,T. Lockett,R. Shaheed,C. Kmet
WR - NYJ,QB - DET,RB - MIN,WR - NYJ,QB - DET,TE - CHI,WR - NO,WR - SEA,WR - NO,TE - CHI
13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9
G. Davis,J. McLaughlin,K. Miller,K. Cousins,D. Singletary,M. Wilson,D. Singletary,C. Williams,J. Dotson,K. Miller
WR - JAX,RB - DEN,RB - NO,QB - ATL,RB - NYG,WR - ARI,RB - NYG,QB -,WR - WAS,RB - NO
1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
G. Wilson,A. Brown,D. Moore,P. Nacua,P. Nacua,B. Robinson,N. Collins,P. Nacua,G. Wilson,G. Wilson
WR - NYJ,WR - PHI,WR - CHI,WR - LAR,WR - LAR,RB - ATL,WR - HOU,WR - LAR,WR - NYJ,WR - NYJ
2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
N. Collins,J. Taylor,B. Hall,J. Gibbs,J. Gibbs,P. Nacua,A. Brown,G. Wilson,N. Collins,B. Hall
WR - HOU,RB - IND,RB - NYJ,RB - DET,RB - DET,WR - LAR,WR - PHI,WR - NYJ,WR - HOU,RB - NYJ
3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10
S. LaPorta,T. Kelce,D. Samuel,D. Samuel,M. Pittman,S. Diggs,D. London,M. Harrison,D. Samuel,S. Barkley
TE - DET,TE - KC,WR - SF,WR - SF,WR - IND,WR - HOU,WR - ATL,WR -,WR - SF,RB - PHI
4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
D. Samuel,T. Dell,M. Pittman,M. Pittman,T. Dell,D. Samuel,T. Kelce,D. Samuel,M. Evans,S. LaPorta
WR - SF,WR - HOU,WR - IND,WR - IND,WR - HOU,WR - SF,TE - KC,WR - SF,WR - TB,TE - DET
5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10
J. Cook,P. Mahomes,J. Addison,J. Conner,R. Odunze,T. McLaurin,T. McLaurin,J. Cook,R. Odunze,R. Odunze
RB - BUF,QB - KC,WR - MIN,RB - ARI,WR -,WR - WAS,WR - WAS,RB - BUF,WR -,WR -
6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
C. Kirk,T. McLaurin,P. Mahomes,J. Addison,J. Cook,T. McBride,I. Pacheco,T. McBride,T. McLaurin,C. Kirk
WR - JAX,WR - WAS,QB - KC,WR - MIN,RB - BUF,TE - ARI,RB - KC,TE - ARI,WR - WAS,WR - JAX
7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10
J. Burrow,M. Brown,C. Watson,E. Engram,R. Stevenson,T. Spears,A. Kamara,T. Spears,A. Richardson,D. Montgomery
QB - CIN,WR - KC,WR - GB,TE - JAX,RB - NE,RB - TEN,RB - NO,RB - TEN,QB - IND,RB - DET
8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
R. Stevenson,R. Stevenson,G. Pickens,J. Burrow,G. Kittle,J. Burrow,J. Burrow,J. Burrow,D. Njoku,J. Burrow
RB - NE,RB - NE,WR - PIT,QB - CIN,TE - SF,QB - CIN,QB - CIN,QB - CIN,TE - CLE,QB - CIN
9.10,9.10,9.10,9.10,9.10,9.10,9.10,9.10,9.10,9.10
D. Johnson,J. Meyers,J. Ferguson,R. Doubs,J. Love,D. Johnson,J. Williams,J. Meyers,N. Chubb,J. Williams
WR - CAR,WR - LV,TE - DAL,WR - GB,QB - GB,WR - CAR,WR - DET,WR - LV,RB - CLE,WR - DET
10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1
J. Williams,D. Johnson,N. Chubb,B. Robinson,J. Williams,J. Williams,R. Mostert,J. Williams,J. Mixon,N. Chubb
WR - DET,WR - CAR,RB - CLE,RB - WAS,RB - DEN,WR - DET,RB - MIA,WR - DET,RB - HOU,RB - CLE
11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10,11.10
T. Lawrence,C. Kmet,T. Lawrence,C. Sutton,T. Lawrence,D. Schultz,J. Ford,D. Schultz,R. Johnson,D. Schultz
QB - JAX,TE - CHI,QB - JAX,WR - DEN,QB - JAX,TE - HOU,RB - CLE,TE - HOU,RB - CHI,TE - HOU
12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1
C. Kmet,T. Lawrence,C. Kmet,T. Chandler,C. Kmet,J. Goff,J. Goff,T. Chandler,T. Tagovailoa,J. Goff
TE - CHI,QB - JAX,TE - CHI,RB - MIN,TE - CHI,QB - DET,QB - DET,RB - MIN,QB - MIA,QB - DET
13.10,13.10,13.10,13.10,13.10,13.10,13.10,13.10,13.10,13.10
J. McLaughlin,T. Allgeier,J. McLaughlin,D. Singletary,G. Davis,K. Miller,B. Cooks,A. Rodgers,M. Mayer,J. Jeudy
RB - DEN,RB - ATL,RB - DEN,RB - NYG,WR - JAX,RB - NO,WR - DAL,QB - NYJ,TE - LV,WR - CLE
